Geneid	control_1	control_2	SRRM2depl_1	SRRM2depl_2	SONdepl_1	SONdepl_2	doubledepl_1	doubledepl_2
ENSG00000197241.3	10	6	12	6	17	2	8	6
ENSG00000142583.17	10	12	10	22	16	12	11	12
ENSG00000252404.1	0	0	0	0	0	0	0	0
ENSG00000180758.11	243	185	152	263	266	190	213	225
ENSG00000228526.7	2524	1941	1798	2512	2262	1791	2160	2092
ENSG00000284357.1	0	0	0	0	0	0	0	0
ENSG00000234546.3	0	0	0	0	0	0	0	0
ENSG00000049239.12	816	736	606	905	938	698	832	828
ENSG00000171621.13	1831	1464	1448	2042	1433	1032	1482	1306
ENSG00000284652.1	0	0	2	0	0	2	0	0
ENSG00000284693.1	20	14	13	24	30	6	22	26
ENSG00000252956.1	0	0	0	0	0	0	0	0
ENSG00000235263.1	0	0	0	0	1	0	0	0
ENSG00000171612.6	2926	2109	2029	2966	3139	2143	2805	2701
ENSG00000231181.1	0	0	0	0	0	0	0	0
ENSG00000188807.12	608	428	349	614	502	334	513	483
ENSG00000171608.15	376	274	260	422	307	205	292	257
ENSG00000179840.5	0	0	0	0	0	0	0	0
ENSG00000233268.3	0	0	0	0	0	0	0	0
ENSG00000231789.2	0	0	0	0	0	0	0	0
ENSG00000171603.17	5081	3814	3708	5482	4544	3260	4143	3959
ENSG00000271264.1	0	0	0	0	0	0	0	0
ENSG00000280113.2	6	0	3	7	13	4	6	3
ENSG00000178585.14	628	514	394	717	435	380	462	424
ENSG00000223989.1	0	0	0	0	0	0	0	0
ENSG00000285701.1	0	0	0	0	0	0	0	0
ENSG00000162441.11	509	376	318	573	629	323	354	470
ENSG00000228150.1	0	0	0	0	0	0	0	0
ENSG00000173614.13	403	346	342	513	444	258	392	369
ENSG00000202415.1	0	0	0	0	0	0	0	0
ENSG00000283611.2	0	0	0	0	0	0	0	0
ENSG00000265521.1	0	0	0	0	0	0	0	0
ENSG00000241326.1	0	0	0	0	0	0	0	0
ENSG00000162444.11	130	114	115	160	170	112	129	118
ENSG00000130939.18	4931	3878	3600	5157	3444	2788	3143	3002
ENSG00000224340.1	0	0	0	0	0	0	0	0
ENSG00000233623.2	0	0	0	0	0	0	0	0
ENSG00000201746.1	0	0	0	0	0	0	0	0
ENSG00000054523.17	7911	5631	6355	8431	5363	4278	5118	5189
ENSG00000264881.1	0	0	0	0	0	0	0	0
ENSG00000199562.1	0	0	0	0	0	0	0	0
ENSG00000264501.2	0	0	0	0	0	0	0	0
ENSG00000284735.1	187	136	113	180	134	94	143	121
ENSG00000284642.1	36	23	27	49	31	22	25	22
ENSG00000142657.20	1307	1038	1042	1411	1054	631	817	873
ENSG00000271989.1	2	3	4	1	2	2	3	0
ENSG00000251503.8	71	52	61	103	96	39	67	76
ENSG00000175279.21	0	0	0	0	0	0	0	0
ENSG00000241563.3	0	0	0	0	0	0	0	0
ENSG00000160049.11	1301	1264	1238	1848	2187	1248	1732	1762
ENSG00000203469.2	0	0	0	0	0	0	0	0
ENSG00000142655.12	6655	4671	4588	6423	4709	3864	4328	3957
ENSG00000243267.3	0	0	0	0	0	0	0	0
ENSG00000130940.14	1964	1451	1419	1980	1299	947	1105	1071
ENSG00000272078.1	0	0	0	0	0	0	0	0
ENSG00000225158.2	1	0	0	0	0	0	2	0
ENSG00000175262.14	12	8	2	2	8	6	2	4
ENSG00000215785.2	4	1	0	2	0	1	0	0
ENSG00000120948.17	2	2	3	0	4	0	3	0
ENSG00000277726.4	0	0	0	0	0	0	0	0
ENSG00000009724.16	84	53	66	108	92	42	54	63
ENSG00000271895.2	0	0	0	0	0	0	0	0
ENSG00000116649.9	246	253	221	394	529	244	364	378
ENSG00000171824.13	1408	1039	1108	1703	1363	989	1258	1178
ENSG00000226849.1	0	0	0	0	0	0	0	0
ENSG00000230337.1	25	25	12	24	26	11	26	27
ENSG00000198793.12	5621	4159	4007	5853	4438	3577	4256	3892
ENSG00000225602.5	0	0	0	0	0	0	0	0
ENSG00000253086.1	0	0	0	0	0	0	0	0
ENSG00000171819.4	0	0	0	0	0	0	0	0
ENSG00000207451.1	0	0	0	0	0	0	0	0
ENSG00000238173.1	0	0	0	0	0	0	0	0
ENSG00000120942.13	736	645	647	893	892	710	764	763
ENSG00000238199.1	0	0	0	0	0	0	0	0
ENSG00000284646.1	18	15	6	6	10	2	6	14
ENSG00000224338.2	0	0	0	0	0	0	0	0
ENSG00000204624.7	238	200	163	205	163	112	136	121
ENSG00000285833.1	0	0	0	0	0	0	0	0
ENSG00000235643.1	0	0	2	6	15	3	1	5
ENSG00000284708.1	0	3	4	10	47	44	63	57
ENSG00000116661.10	138	136	96	189	142	61	98	90
ENSG00000132879.13	211	127	94	196	103	94	91	107
ENSG00000116663.10	170	146	159	197	230	125	230	216
ENSG00000116670.14	249	236	213	301	361	174	338	351
ENSG00000162490.6	176	132	68	124	235	139	321	316
ENSG00000177674.15	204	213	168	212	196	112	189	166
ENSG00000215910.7	4	2	2	5	12	3	6	17
ENSG00000177553.6	0	0	0	0	0	0	0	0
ENSG00000177000.12	233	221	120	186	305	174	223	198
ENSG00000011021.22	931	710	577	867	701	517	778	660
ENSG00000276470.1	0	0	0	0	0	0	0	0
ENSG00000278852.1	0	0	0	0	0	0	0	0
ENSG00000175206.10	4	2	2	3	0	3	0	0
ENSG00000275915.1	0	0	0	0	0	0	0	0
ENSG00000120937.8	0	0	0	2	0	2	2	0
ENSG00000224904.1	0	0	0	0	0	0	0	0
ENSG00000285646.1	1155	829	1044	1432	2033	822	1010	1342
ENSG00000199347.1	0	0	0	0	0	0	0	0
ENSG00000201801.1	0	0	0	0	0	0	0	0
ENSG00000116685.15	186	146	157	200	176	70	98	110
ENSG00000083444.16	1869	1633	993	1503	1595	1169	1223	1144
ENSG00000116688.16	1957	1670	1507	2249	2269	1541	1918	1991
ENSG00000270914.1	0	0	0	2	2	2	1	0
ENSG00000116691.10	112	122	91	182	172	75	76	103
ENSG00000202461.1	0	0	0	0	0	0	0	0
ENSG00000276869.1	0	0	0	0	0	0	0	0
ENSG00000243539.3	0	0	2	3	2	4	5	2
ENSG00000120949.14	12	8	16	32	40	12	29	30
ENSG00000201135.1	0	0	0	0	0	0	0	0
ENSG00000227875.2	0	0	0	0	0	0	0	0
ENSG00000285604.1	0	0	0	0	0	0	0	0
ENSG00000283789.1	0	0	0	0	0	0	0	0
ENSG00000028137.18	12	10	6	22	12	8	4	8
ENSG00000263676.1	0	0	0	0	0	0	0	0
ENSG00000225196.2	0	0	0	0	0	0	0	0
ENSG00000252969.1	0	0	0	0	0	0	0	0
ENSG00000048707.15	11157	8294	8341	11242	7370	6058	6833	6595
ENSG00000239149.1	0	0	0	0	0	0	0	0
ENSG00000229484.1	4	8	0	2	2	0	1	0
ENSG00000162496.8	5456	4210	3467	4959	3331	2187	2412	2227
ENSG00000221340.1	0	0	0	0	0	0	0	0
ENSG00000276830.1	0	0	0	0	0	0	0	0
ENSG00000272482.1	74	72	91	100	70	34	30	33
ENSG00000204518.2	0	0	0	0	2	6	0	0
