Genes	G:\18.8.23_Michal\CSSdp12_S1-B12_1_3444.d.dia	G:\18.8.23_Michal\CSSdp11_S1-B11_1_3443.d.dia	G:\18.8.23_Michal\CSSdp10_S1-B10_1_3442.d.dia	G:\18.8.23_Michal\CSSde9_S1-B9_1_3441.d.dia	G:\18.8.23_Michal\CSSde8_S1-B8_1_3440.d.dia	G:\18.8.23_Michal\CSSnp6_S1-B6_1_3438.d.dia	G:\18.8.23_Michal\CSSnp5_S1-B5_1_3437.d.dia	G:\18.8.23_Michal\CSSnp4_S1-B4_1_3436.d.dia	G:\18.8.23_Michal\CSSne3_S1-B3_1_3435.d.dia	G:\18.8.23_Michal\CSSne2_S1-B2_1_3434.d.dia	G:\18.8.23_Michal\CSSne1_S1-B1_1_3433.d.dia	G:\18.8.23_Michal\CSSde7_S1-B7_1_3439.d.dia
ACAA2	7657.57	10712	14766.9	11701.5	10100.8	9438.7	8696.45	11764.9	14577.6	12893.6	11120.8	11497.2
ACACA	35481.6	29489	34930.1	35219.9	32524	31615.9	31183.8	31177.5	32699.4	30685.5	29725.4	32810.9
ACAD10	10090.6	8158.39	8913.07	5611.93	3161.96	7698.9	6915.3	10574.8	6191.53	4084.97	6411.68	4953.55
ACAD8	18517.3	26546.6	29442.2	35328	27829.1	19436.2	22751.1	28970	30682.3	28009.9	31264.5	23295.4
ACAD9	27826.9	25693.5	31467.8	28793.7	26769.7	28250.1	25757.4	28190.2	31642.4	34543.1	32628.5	28191.8
ACADM	92701.4	105990	90985.8	90499.5	91901.1	81877.3	86069.5	94309.6	63052.1	79738	89753.4	80404.7
ACADS	5888.14	6458.68	5437.59	7983.23	6217.38	5079.3	4290.04	5025.29	8162.84	8270.19	6780.63	9245.28
ACADSB	56812.2	58257.5	56267.3	55122.9	52231.3	64520.7	59022.2	52355.2	47860.6	40713.7	55560.4	41963.4
ACADVL	94465.4	103842	98169.6	95435.7	93864.3	93302.5	94086.7	97453.9	112973	100290	106275	100693
ACAP2	31420.1	30094.7	27965.8	32692.6	28235.8	31696.3	38105.1	35018	33428.7	31205.5	36476.5	30818.7
ACAT1	112609	110981	110020	105087	93121.8	107947	105465	115965	84911.9	93209.3	103559	81330.9
ACAT2	54983.9	55579.9	54727.3	54668.5	47698.8	50503.6	50700.3	55068.2	42920.6	42820.3	45335.2	45785.9
ACBD3	21594.4	24263	27853.2	25153	23201.4	24873.6	24807.4	23723.9	23822.8	21430.8	17274.1	22195.4
ACBD5	8647.74	8506.41	7016.88	10545.3	8731.63	9923.67	8967.33	9469.43	9583.73	7735.85	9318.05	9205.86
ACBD6	20629.2	15941.7	20599	19424.9	17293.2	15351.1	23310.2	16589	25825.7	27920.1	28877.1	25953.2
ACBD7	9298.7	13518.3	10755.8	9275.72	13531.4	9550.81	8568.2	8904.95	3676.55		11397.5	
ACIN1	167476	173199	172096	188159	188861	182860	178930	178213	186838	176214	179204	175229
